Title,Url,Price,ISBN-10,ISBN,Author,Format,Pages,Publisher,Language
Less Than Zero,https://bulkbookstore.com/less-than-zero-9780060001261,5.99,0060001267,b'9780060001261',"Stuart J. Murphy, Frank Remkiewicz",Paperback,40.0,"HarperCollins (August 14, 2003)",English
Women and Autoimmune Disease (The Mysterious Ways Your Body Betrays Itself),https://bulkbookstore.com/women-and-autoimmune-disease-the-mysterious-ways-your-body-betrays-itself-9780060081508,16.99,0060081503,b'9780060081508',Robert G. Lahita,Paperback,304.0,"HarperCollins (July 5, 2005)",English
In The Garden Of The North American Martyrs (Stories),https://bulkbookstore.com/in-the-garden-of-the-north-american-martyrs-stories-9780880014977,13.95,0880014970,b'9780880014977',Tobias Wolff,Paperback,192.0,"HarperCollins (May 11, 2004)",English
Amelia Bedelia's Family Album,https://bulkbookstore.com/amelia-bedelias-family-album-9780060511166-1,4.99,0060511168,b'9780060511166',"Peggy Parish, Lynn Sweat",Paperback,48.0,"HarperCollins (February 18, 2003)",English
De la cabeza a los pies (From Head to Toe (Spanish edition)),https://bulkbookstore.com/from-head-to-toe-spanish-edition-de-la-cabeza-a-los-pies-9780060513139,8.99,0060513136,b'9780060513139',"Eric Carle, Eric Carle",Paperback,32.0,"HarperCollins (January 9, 2007)",Spanish
Molly Moon's Incredible Book of Hypnotism,https://bulkbookstore.com/molly-moons-incredible-book-of-hypnotism-9780060514099,7.99,0060514094,b'9780060514099',Georgia Byng,Paperback,384.0,"HarperCollins (April 13, 2004)",English
Walk This Way (The Autobiography of Aerosmith),https://bulkbookstore.com/walk-this-way-the-autobiography-of-aerosmith-9780060515805,16.99,0060515805,b'9780060515805',"Aerosmith, Stephen Davis",Paperback,528.0,"HarperCollins (February 18, 2003)",English
Truesight,https://bulkbookstore.com/truesight-9780060522872,10.99,0060522879,b'9780060522872',David Stahler,Paperback,256.0,"HarperCollins (December 28, 2004)",English
Living On Luck,https://bulkbookstore.com/living-on-luck-9780876859810,18.99,0876859813,b'9780876859810',Charles Bukowski,Paperback,304.0,"HarperCollins (May 30, 2002)",English
Hell at the Breech (A Novel),https://bulkbookstore.com/hell-at-the-breech-a-novel-9780060566760,15.99,0060566760,b'9780060566760',Tom Franklin,Paperback,368.0,"HarperCollins (December 16, 2003)",English
Hamster Champs,https://bulkbookstore.com/hamster-champs-9780060557737,6.99,0060557737,b'9780060557737',"Stuart J. Murphy, Pedro Martin",Paperback,40.0,"HarperCollins (August 23, 2005)",English
Neverwhere (A Novel),https://bulkbookstore.com/neverwhere-a-novel-9780060557812,15.99,0060557818,b'9780060557812',Neil Gaiman,Paperback,400.0,"HarperCollins (September 2, 2003)",English
A Year with C. S. Lewis (Daily Readings from His Classic Works),https://bulkbookstore.com/a-year-with-c-s-lewis-daily-readings-from-his-classic-works-9780060566166,24.99,0060566167,b'9780060566166',C. S. Lewis,Hardcover,416.0,"HarperCollins (October 21, 2003)",English
